PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
306530435,23035798,6,2023-03-10T11:30:00,"600 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.0017928321911,40.4425929172081
307051774,23038735,10,2023-03-16T09:35:00,"800 Block Reunion Pl Pittsburgh, PA 15219",N,Bedford Dwellings,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment.,509,,,,
307082554,23038816,27,2023-03-16T12:45:00,"N Braddock Ave & Alsace Way Pittsburgh, PA 15208",N,Homewood South,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1303,9,2,-79.8914147713041,40.4523839849004
307106971,23038916,99,2023-03-16T12:00:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),103,6,3,-79.9854587006851,40.4360439740714
307112015,23038967,6,2023-03-16T17:54:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,North Oakland,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",403,6,6,-79.9979394803376,40.4429453058783
-3545212913,23039221,14,2023-03-17T05:05:00,"2100 Block Salisbury St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1608,3,3,-79.9769669244465,40.4192101569899
307139199,23038824,99,2023-03-16T12:57:00,"1900 Block Wightman St Pittsburgh, PA 15217",N,Squirrel Hill South,4,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1413,5,3,-79.9281247341305,40.4355669488151
305619621,23030298,10,2023-02-28T08:06:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5101 Obstructing Admin. of Law ,2509,6,1,-80.0069833937371,40.460310552493
306215586,23034218,11,2023-03-07T11:31:00,"1100 Block Muldowney Ave Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.9173489798902,40.3685662006421
306241325,23034368,99,2023-03-07T16:40:00,"6000 Block Harvard St Pittsburgh, PA 15206",N,East Liberty,5,AIDED CASE,9497 Aided Case,1115,,,,
306244444,23034430,6,2023-03-05T10:27:00,"100 Block Lodi Way Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,603,5,3,-79.9064255776623,40.4199020903469
306254007,23034485,27,2023-03-07T19:36:00,"Brighton Rd & Woodland Ave Pittsburgh, PA 15212",N,Perry South,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2615,6,1,-80.0256165710136,40.469951142923
306255218,23034115,0,2023-03-07T07:45:00,"Highland Park Brg Pittsburgh, PA 15215",Y,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1201,,,-79.9128971017391,40.487399513139
306255676,23034521,99,2023-03-07T21:05:00,"1500 Block Brighton Pl Pittsburgh, PA 15212",N,California-Kirkbride,1,AIDED CASE,9497 Aided Case,2507,6,1,-80.0165685056208,40.4568744092444
307522371,23042007,0,2023-03-22T11:21:00,"Beacon St & Hobart Rd Pittsburgh, PA 15217",Y,Squirrel Hill South,4,99,3323 Stop Signs and Yield Signs. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1413,5,3,-79.9349492152133,40.432133482174
307528163,23031110,4,2023-03-01T16:38:00,"7900 Block Tioga St Pittsburgh, PA 15221",Y,Homewood South,5,AGG-ASSAULT,2702 Aggravated Assault. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2701 Simple Assault. / 2701 Simple Assault.,1304,9,2,-79.8868071918358,40.4500265309355
307558931,23042205,10,2023-03-22T15:20:00,"900 Block Proctor Way Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault.,1803,3,5,-79.9912223739605,40.4204613827673
307570370,23042137,0,2023-03-22T15:30:00,"1200 Block Elwell St Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): ,3102,5,3,-79.915564419443,40.369532738706
307627444,23040500,10,2023-03-19T13:05:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Point Breeze North,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.,103,6,6,-79.9931846812947,40.4350718208947
306928838,23037886,5,2023-03-14T16:22:00,"400 Block Ormsby St Pittsburgh, PA 15210",Y,Mount Oliver,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 13(a)(16) Possession of Controlled Substance / 3503 Criminal Trespass,1607,3,3,-79.9816232395139,40.412632050652
306033917,23033139,27,2023-03-05T09:07:00,"200 Block Federal St N Pittsburgh, PA 15212",N,North Shore,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2205,1,6,-80.0039635417819,40.4484213102204
306034213,23033165,99,2023-03-05T10:46:00,"500 Block Handler St Pittsburgh, PA 15203",N,South Side Slopes,3,LOST PROPERTY,9504 Lost Property,1608,3,3,-79.9632922222473,40.4202344665737
306036505,23033163,99,2023-03-05T10:30:00,"1400 Block Woods Run Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2715,1,1,-80.0333596837803,40.4761960414789
306036604,23033160,14,2023-03-05T10:00:00,"2100 Block Peekskill St Pittsburgh, PA 15214",N,Fineview,1,CRIM MISCHIEF,3304 Criminal Mischief.,2509,6,1,-80.0029121364221,40.4656998164499
306045739,23033291,6,2023-03-05T15:47:00,"400 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.9993229906853,40.4387869875112
306056460,23033377,10,2023-03-05T18:52:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,SIMPLE ASSAULT,2701 Simple Assault.,2304,1,1,-80.0009078076061,40.4508935571012
306075104,23033543,6,2023-03-06T03:41:00,"2800 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.0301204911086,40.4699527063021
307497427,23041900,14,2023-03-22T05:44:00,"Penn Ave & N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.924821347804,40.4614220740566
307534876,23042096,27,2023-03-22T13:46:00,"S 23rd St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9730401267718,40.4283280934991
307553963,23042170,6,2023-03-22T16:00:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.,1115,9,2,-79.9174350673146,40.4575134947128
307555580,23042258,0,2023-03-22T18:09:00,"5th Ave & Mc Masters Way Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.0017135985185,40.4412421093434
307574549,23042371,0,2023-03-22T22:38:00,"800 Block Inwood St Pittsburgh, PA 15208",N,Homewood West,5,99,9999 9999 - (Misc. Incident): ,1207,9,2,-79.9049807901523,40.4581829504096
307580757,23042388,99,2023-03-22T23:42:00,"N Mathilda St & Penn Ave Pittsburgh, PA 15224",N,Central Lawrenceville,2,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,902,7,2,-79.9464499524183,40.465474427328
307585797,23042478,10,2023-03-23T05:21:00,"2200 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats.,2615,6,1,-80.0198326968146,40.4632224969601
305692495,23030476,14,2023-02-28T14:30:00,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,1,1,-80.0016475371851,40.4771220932508
305727858,23030403,27,2023-02-28T11:50:00,"6400 Block Frankstown Ave Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1208,,,,
306884629,23037765,11,2023-03-14T11:39:00,"4200 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,THEFT BY DECEPTION,3922 Theft by Deception.,1516,5,3,-79.9430052091778,40.4232529057345
307142188,23038806,27,2023-03-12T16:56:00,"1400 Block Centre Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,,,-79.8796553236592,40.4461196784598
307255818,23040417,99,2023-03-19T09:37:00,"300 Block Wilbur St Pittsburgh, PA 15210",N,Knoxville,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3001,4,5,-79.9944964654934,40.4077463910565
306339504,23034924,27,2023-03-08T13:30:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",N,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1920,4,5,-80.0254967571288,40.3991926113208
306340133,23034940,6,2023-03-08T16:30:00,"500 Block Ross St Pittsburgh, PA 15219",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle,201,6,6,-79.9948855336992,40.4397261134572
306341405,23034933,99,2023-03-08T17:15:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,501,6,3,-79.9799824053927,40.4435889103074
306351618,23035005,0,2023-03-08T11:00:00,"800 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,99,2709.1 Stalking Conduct or Repeatedly Acts Including Follows,2304,1,1,-79.9967109310997,40.4544186679224
306358879,23035012,99,2023-03-08T19:30:00,"Mullins St & Evandale Rd Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3334 Turning Movements and Required Signals.,2715,1,1,-80.0318734394616,40.4700804377585
306364420,23035095,0,2023-03-09T00:50:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,2701,1,1,-80.0438525192105,40.4795625107137
307316415,23040952,0,2023-03-20T12:15:00,"1800 Block Beaver Ave Pittsburgh, PA 15233",N,Chateau,1,99,9994 PFA Service,2108,1,1,-79.9881763088574,40.4647404473121
307436167,23041489,17,2023-03-20T15:00:00,Zone 3,N,,3,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
307607078,23042493,10,2023-03-23T07:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.9974088316752,40.4415332222525
307139705,23039272,27,2023-03-17T07:50:00,"600 Block Danbury St Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,,,,
307143042,23039262,0,2023-03-15T10:55:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),2904,4,3,-79.9811511391941,40.3866924905732
307169454,23039541,0,2023-03-17T17:30:00,"3100 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Custody Dispute,1414,5,3,-79.92188198389,40.4210077015123
307192535,23039737,99,2023-03-17T03:00:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,103,6,6,-79.9945910498533,40.4353346704734
307207310,23039849,6,2023-03-18T09:15:00,"400 Block Cathedral Ave Pittsburgh, PA 15210",N,Mount Oliver,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1607,3,3,-79.981625839074,40.411955244107
-3637013583,23030586,6,2023-02-28T17:25:00,"200 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,706,8,2,-79.9252961319403,40.4587558589122
305775231,23031481,14,2023-03-02T09:20:00,"1200 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.0056567707517,40.4561374430675
306282794,23034673,27,2023-03-08T08:15:00,"800 Block Western Ave Pittsburgh, PA 15233",N,Allegheny West,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2201,1,1,-80.0140594379723,40.4524152735044
306285342,23034254,0,2023-03-07T12:33:00,"3600 Block Shadeland Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): Non-Reportable Accident,2701,,,,
306288703,23034686,27,2023-03-08T07:58:00,"Beechwood Blvd Ramp & Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1408,,,,
306288977,23034665,99,2023-03-08T08:45:00,"400 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,FOUND PROPERTY,9489 Found Property,2609,1,1,-80.0019047608856,40.4798372205299
306291315,23034699,11,2023-03-08T00:01:00,"100 Block Secane Ave Pittsburgh, PA 15211",N,Mount Washington,3,IDENTITY THEFT,4120 Identity Theft,1807,3,5,-80.0037090480548,40.4219253824416
306327739,23034815,0,2023-03-08T13:18:00,"1100 Block N Lang Ave Pittsburgh, PA 15208",N,Homewood North,5,99,8106 Shots Fired,1301,9,2,-79.897682175183,40.460060234309
306327918,23034830,99,2023-03-08T14:10:00,"300 Block Roberts St Pittsburgh, PA 15219",N,Bluff,2,FOUND PROPERTY,9489 Found Property,103,6,3,-79.9821525342188,40.4406789505314
306330204,23034847,6,2023-03-07T23:45:00,"100 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",404,,,-79.8783824278341,40.4433210032603
307644765,23042675,0,2023-03-23T11:01:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9993 PFA Service with Weapons Supplement,305,6,3,-79.9799824053927,40.4435889103074
307649588,23042703,10,2023-03-23T08:00:00,"4100 Block Evergreen Rd Pittsburgh, PA 15214",N,Summer Hill,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2612,,,,
